Movie,Question,Answer,Film,Song
Devara Part   1,Complete the lyric: '___ Sandhram; Bagunna Mande Aagraham; Arachakaalu Bagnam',AGGANATTUKUNDHI,Devara Part   1,Fear Song
Devara Part   1,Who is the music director for the song with the lyrics snippet 'Agganattukundhi Sandhram; Bagunna Mande Aagraham; Arachakaalu Bagnam'?,ANIRUDHRAVICHANDER,Devara Part   1,Fear Song
Devara Part   1,Who penned the lyrics to the song with the lyrics snippet 'Agganattukundhi Sandhram; Bagunna Mande Aagraham; Arachakaalu Bagnam'?,RAMAJOGAYYASASTRY,Devara Part   1,Fear Song
Devara Part   1,Which movie has the song with the following lyrics snippet from: 'Agganattukundhi Sandhram; Bagunna Mande Aagraham; Arachakaalu Bagnam'?,DEVARAPART1,Devara Part   1,Fear Song
Devara Part   1,Who sang the song with the lyrics snippet 'Agganattukundhi Sandhram; Bagunna Mande Aagraham; Arachakaalu Bagnam'?,ANIRUDHRAVICHANDER,Devara Part   1,Fear Song
Devara Part   1,Complete the lyric: 'All Hail ___ Hail All Hail; Jagathiki Chetucheyyanelaa; Devara Vetukandhadelaa',ALL,Devara Part   1,Fear Song
Devara Part   1,Who is the music director for the song with the lyrics snippet 'All Hail All Hail All Hail; Jagathiki Chetucheyyanelaa; Devara Vetukandhadelaa'?,ANIRUDHRAVICHANDER,Devara Part   1,Fear Song
Devara Part   1,Who penned the lyrics to the song with the lyrics snippet 'All Hail All Hail All Hail; Jagathiki Chetucheyyanelaa; Devara Vetukandhadelaa'?,RAMAJOGAYYASASTRY,Devara Part   1,Fear Song
Devara Part   1,Which movie has the song with the following lyrics snippet from: 'All Hail All Hail All Hail; Jagathiki Chetucheyyanelaa; Devara Vetukandhadelaa'?,DEVARAPART1,Devara Part   1,Fear Song
Devara Part   1,Who sang the song with the lyrics snippet 'All Hail All Hail All Hail; Jagathiki Chetucheyyanelaa; Devara Vetukandhadelaa'?,ANIRUDHRAVICHANDER,Devara Part   1,Fear Song
Devara Part   1,Complete the lyric: 'Kanulaku Kaanaraanidhilaa; Kadaliki Kaapaiyyindheevelaa; Vidhike Edhurai Velithe Vila ___',VILAA,Devara Part   1,Fear Song
Devara Part   1,Who is the music director for the song with the lyrics snippet 'Kanulaku Kaanaraanidhilaa; Kadaliki Kaapaiyyindheevelaa; Vidhike Edhurai Velithe Vila Vilaa'?,ANIRUDHRAVICHANDER,Devara Part   1,Fear Song
Devara Part   1,Who penned the lyrics to the song with the lyrics snippet 'Kanulaku Kaanaraanidhilaa; Kadaliki Kaapaiyyindheevelaa; Vidhike Edhurai Velithe Vila Vilaa'?,RAMAJOGAYYASASTRY,Devara Part   1,Fear Song
Devara Part   1,Which movie has the song with the following lyrics snippet from: 'Kanulaku Kaanaraanidhilaa; Kadaliki Kaapaiyyindheevelaa; Vidhike Edhurai Velithe Vila Vilaa'?,DEVARAPART1,Devara Part   1,Fear Song
Devara Part   1,Who sang the song with the lyrics snippet 'Kanulaku Kaanaraanidhilaa; Kadaliki Kaapaiyyindheevelaa; Vidhike Edhurai Velithe Vila Vilaa'?,ANIRUDHRAVICHANDER,Devara Part   1,Fear Song
Devara Part   1,Complete the lyric: 'Ee Ontiki Nachhatle; Nee Kougilitho ___ Singaarinchu; Raa Ye Vennela Jolaali',NANNU,Devara Part   1,Chuttamalle
Devara Part   1,Who is the music director for the song with the lyrics snippet 'Ee Ontiki Nachhatle; Nee Kougilitho Nannu Singaarinchu; Raa Ye Vennela Jolaali'?,ANIRUDHRAVICHANDER,Devara Part   1,Chuttamalle
Devara Part   1,Who penned the lyrics to the song with the lyrics snippet 'Ee Ontiki Nachhatle; Nee Kougilitho Nannu Singaarinchu; Raa Ye Vennela Jolaali'?,RAMAJOGAYYASASTRY,Devara Part   1,Chuttamalle
Devara Part   1,Which movie has the song with the following lyrics snippet from: 'Ee Ontiki Nachhatle; Nee Kougilitho Nannu Singaarinchu; Raa Ye Vennela Jolaali'?,DEVARAPART1,Devara Part   1,Chuttamalle
